detected_at,type,id,name,field,old,new
2026-07-09 14:40:54,CHANGED,203994,Jusuf Nurkić,name,Jusuf Nurkic,Jusuf Nurkić
2026-07-09 15:41:55,REMOVED,1630625,Dalano Banton,team,BOS,
2026-07-09 15:42:54,ADDED,1630625,Dalano Banton,team,,BOS
2026-07-09 15:43:55,REMOVED,1630625,Dalano Banton,team,BOS,
2026-07-09 16:48:54,CHANGED,1629029,Luka Doncic,name,Luka Dončić,Luka Doncic
2026-07-09 17:44:54,CHANGED,1629029,Luka Dončić,name,Luka Doncic,Luka Dončić
2026-07-10 10:45:54,REMOVED,1630533,Ziaire Williams,team,BKN,
2026-07-10 11:42:54,REMOVED,1642530,Yuki Kawamura,team,CHI,
2026-07-10 11:42:54,REMOVED,1629012,Collin Sexton,team,CHI,
2026-07-10 11:42:54,REMOVED,1642950,Lachlan Olbrich,team,CHI,
2026-07-10 11:42:54,REMOVED,1630644,Mac McClung,team,CHI,
2026-07-10 11:42:54,REMOVED,1627824,Guerschon Yabusele,team,CHI,
2026-07-10 11:42:54,REMOVED,1630208,Nick Richards,team,CHI,
2026-07-10 12:38:54,ADDED,1629637,Jaxson Hayes,team,,UTA
2026-07-10 12:38:54,CHANGED,1629006,Josh Okogie,team,HOU,UTA
2026-07-10 13:42:55,ADDED,1641844,Tarik Biberovic,team,,DAL
2026-07-10 13:42:55,ADDED,1628964,Mo Bamba,team,,UTA
2026-07-10 13:42:55,CHANGED,1643538,Joshua Jefferson,team,MIN,BKN
2026-07-10 13:42:55,CHANGED,1631338,Mouhamadou Gueye,team,CHI,CHA
2026-07-10 13:42:55,CHANGED,1630182,Josh Green,team,CHA,MIN
2026-07-10 13:42:55,CHANGED,203944,Julius Randle,team,MIN,BKN
2026-07-10 13:42:55,CHANGED,1630163,LaMelo Ball,team,CHA,MIN
2026-07-10 13:42:55,CHANGED,1642912,Isaiah Evans,team,BKN,MIN
2026-07-10 13:42:55,CHANGED,1629651,Nic Claxton,team,BKN,CHI
