detected_at,date,type,description
2026-07-20 14:57:33,2026-07-20,Waive,Indiana Pacers waived guard Taelon Peter.
2026-07-20 14:57:33,2026-07-20,Waive,Dallas Mavericks waived forward Tyler Smith.
2026-07-20 19:39:55,2026-07-20,Signing,Dallas Mavericks signed guard Jett Howard to a Two-Way Contract.
2026-07-22 09:19:42,2026-07-22,Signing,Los Angeles Lakers signed forward Arthur Kaluma to a Two-Way Contract.
2026-07-22 09:19:42,2026-07-21,Waive,Los Angeles Lakers waived guard Peter Suder.
2026-07-22 11:18:55,2026-07-22,Signing,Indiana Pacers re-signed forward Jalen Slawson to a Two-Way Contract.
2026-07-22 11:18:55,2026-07-21,Signing,Los Angeles Lakers signed forward Arthur Kaluma to a Two-Way Contract.
2026-07-22 11:29:55,2026-07-22,Signing,Atlanta Hawks signed forward Jalen Wilson to a Two-Way Contract.
2026-07-22 14:17:55,2026-07-22,Signing,San Antonio Spurs re-signed guard David Jones Garcia to a Two-Way Contract.
2026-07-22 14:17:55,2026-07-22,Signing,Dallas Mavericks signed center Moussa Cisse to a Contract.
2026-07-22 21:10:55,2026-07-22,Signing,Houston Rockets re-signed forward Isaiah Crawford to a Contract.
2026-07-23 11:34:55,2026-07-23,Signing,Boston Celtics re-signed guard Jordan Walsh to a Veteran Extension.
2026-07-23 11:43:55,2026-07-23,Signing,Houston Rockets re-signed forward Jae'Sean Tate to a Contract.
2026-07-23 13:53:55,2026-07-22,Waive,San Antonio Spurs waived forward Emanuel Miller.
2026-07-24 08:36:56,2026-07-23,Signing,New Orleans Pelicans signed guard Jaron Pierre Jr. to a Two-Way Contract.
2026-07-25 09:12:50,2026-07-24,Signing,Portland Trail Blazers signed guard John Tonje to a Two-Way Contract.
2026-07-26 14:14:55,2026-07-26,Signing,Philadelphia 76ers signed forward LeBron James to a Contract.
2026-07-26 14:14:55,2026-07-26,Waive,Memphis Grizzlies waived guard Kentavious Caldwell-Pope.
2026-07-26 14:14:55,2026-07-26,Waive,Philadelphia 76ers waived forward Dalen Terry.
2026-07-27 09:50:55,2026-07-25,Waive,Memphis Grizzlies waived guard Kentavious Caldwell-Pope.
2026-07-27 09:50:55,2026-07-25,Waive,Philadelphia 76ers waived forward Dalen Terry.
2026-07-27 14:25:55,2026-07-27,Waive,Sacramento Kings waived guard Isaiah Stevens.
2026-07-28 07:33:55,2026-07-27,Signing,Los Angeles Lakers signed guard Matisse Thybulle to a Contract.
2026-07-28 17:45:55,2026-07-28,Trade,LA Clippers received forward Johni Broome from Philadelphia 76ers.
2026-07-28 17:45:55,2026-07-28,Trade,LA Clippers received draft consideration from Philadelphia 76ers.
2026-07-29 19:21:55,2026-07-29,Signing,Golden State Warriors re-signed forward Draymond Green to a Contract.
2026-07-30 08:54:55,2026-07-29,Signing,Memphis Grizzlies signed forward Karim Lopez to a Rookie Scale Contract.
2026-07-30 14:38:55,2026-07-30,Waive,Charlotte Hornets waived forward Mouhamadou Gueye.
2026-07-31 08:31:16,2026-07-31,Signing,Denver Nuggets signed forward Spencer Jones to a Contract.
2026-07-31 08:31:16,2026-07-31,Signing,Brooklyn Nets signed forward Moritz Wagner to a Contract.
2026-07-31 08:31:16,2026-07-31,Signing,Cleveland Cavaliers signed forward Mario Hezonja to a Contract.
